time_sec,previous_shot_duration,change_type
0.00,,
7.23,7.23,subject-action-change
11.10,3.87,detail-insert-change
16.63,5.53,composition-change
22.20,5.57,subject-action-change
27.83,5.63,detail-insert-change
33.57,5.74,composition-change
36.57,3.00,subject-action-change
38.53,1.96,detail-insert-change
