time_sec,previous_shot_duration,change_type
0.00,,
7.33,7.33,subject-action-change
9.10,1.77,detail-insert-change
13.07,3.97,composition-change
20.13,7.06,subject-action-change
22.13,2.00,detail-insert-change
30.13,8.00,composition-change
