time_sec,previous_shot_duration,change_type
0.00,,
1.17,1.17,subject-action-change
3.43,2.26,detail-insert-change
4.80,1.37,composition-change
6.07,1.27,subject-action-change
8.00,1.93,detail-insert-change
10.33,2.33,composition-change
13.50,3.17,subject-action-change
16.00,2.50,detail-insert-change
17.07,1.07,composition-change
